이슈,원인,원인 소분류,원인 대분류,조치결과,조치결과상세,로봇분류
주행중 멈춤현상,로봇 에러(재부팅 필요),HW / 터치패널,로봇문제(HW),로봇교체(HW),로봇교체,베어 서빙로봇
주행중 멈춤현상 초기화오류,로봇 에러(재부팅 필요),HW / 터치패널,로봇문제(HW),로봇교체(HW),로봇교체,베어 서빙로봇
주행중 멈춤현상 초기화오류,로봇 에러(재부팅 필요),HW / 터치패널,로봇문제(HW),로봇교체(HW),로봇교체,베어 서빙로봇
주행중 멈춰있고 좁은통로 이동못함,충돌,SW / 자율주행,로봇문제(SW),자율주행 로직개선(SW),v1.14.16 버전 이슈v1.14.19로 업데이트 후 해소,LG서빙로봇(고객)
주행중 멈춰있고 좁은통로 이동못함,충돌,SW / 자율주행,로봇문제(SW),자율주행 로직개선(SW),v1.14.16 버전 이슈v1.14.19로 업데이트 후 해소,LG서빙로봇(고객)
주행중 멘트 초기화되었다고 수정 요청 하심,고객 조작 미숙,SW / UI/UX(LCD 화면표기),로봇문제(SW),조작법 안내(고객),음성안내 초기화 재설정,LG 서빙로봇 판매
주행중 복귀,문의성,문의성 / 기술상담,고객사용법,조작법 안내(고객),무게초기화,베어 서빙로봇
주행중 에러,공유기 환경 설정오류,와이파이 / 공유기,무선품질문제,리부팅(HW),,"베어로봇틱스 임대형 방역로봇,방역로봇 충전기"
주행중 오류,로봇 에러(재부팅 필요),설치 / 로봇 내부 설정,고객환경(변화),인스톨러 개선(SW),버젼업,베어 서빙로봇
주행중 장애물 오인식 및 되돌아 오는 현상,매장 내 신규 장애물 발생,설치 / 맵 설정,고객환경(변화),맵 초기화 후 맵 다시 생성(설정),양호,베어 서빙로봇
주행중멈춤 재부팅현상,로봇 에러(재부팅 필요),HW / 터치패널,로봇문제(HW),로봇교체(HW),로봇,베어 서빙로봇
주행중오류,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),맵 보정(설정),맵 재구성,LG 서빙로봇 판매
주행테스트,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),멀티로봇/줄서기오류 등 개선(SW),멀티주행점검,LG서빙로봇(POC)
주행테스트 충전불,매장 내 신규 장애물 발생,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)","충전불, poi위치조정",LG 서비스로봇2 임대형
중간트레이 무게센서 이상,트레이/적재함 불량,HW / 트레이/적재함,로봇문제(HW),트레이/적재함 불량복구(HW),무게센서 감지 이상,베어 서빙로봇
지도 위치 틀어짐 발생,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),맵 보정(설정),위치 틀어짐발생,베어 서빙로봇
지도 위치 틀어짐 발생,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),맵 보정(설정),위치 틀어짐 발생,베어 서빙로봇
지도변경 요청,매장 내 테이블 배치 변경,SW / 자율주행,로봇문제(SW),자율주행 로직개선(SW),댁내이전,베어 서빙로봇
직접설치시 에러로 방문교육,수동조작에 따른 맵 정보 불일치,설치 / 로봇 내부 설정,고객환경(변화),자연회복(자연회복),,LG 서빙로봇 판매
청소하면서 로봇 작동이 안됨,매장 내 테이블 배치 변경,SW / 서비스매니저(서빙/방역 서비스처리),로봇문제(SW),"S/W, F/W 업그레이드 적용(설정)",사용미숙,베어 서비스로봇2 임대형
초기화 오류,로봇 에러(재부팅 필요),설치 / 맵 설정,고객환경(변화),리부팅(HW),오류로 동작안함,"베어로봇틱스 임대형 방역로봇,방역로봇 충전기"
초기화 오류,로봇 에러(재부팅 필요),SW / 서비스매니저(서빙/방역 서비스처리),로봇문제(SW),리부팅(HW),전원 재 부팅,"베어로봇틱스 판매형 방역로봇,방역로봇 충전기"
초기화 오류  로봇교체,"초기화오류, 오류 메시지발생",HW / 모터,로봇문제(HW),로봇교체(HW),로봇불량으로인한 교체잡업,베어 서빙로봇
초기화 오류 메세지,로봇 에러(재부팅 필요),SW / 자율주행,로봇문제(SW),"S/W, F/W 업그레이드 적용(설정)",로봇초기화 재설정,베어 서빙로봇
초기화도중 에러발생,로봇 에러(재부팅 필요),HW / 모터,로봇문제(HW),리부팅(HW),전원리부팅(현장벙문),"베어로봇틱스 임대형 방역로봇,방역로봇 충전기"
초기화도중에러발생 문구,로봇 에러(재부팅 필요),HW / 바퀴,로봇문제(HW),바퀴 불량복구(HW),구동부에러,"베어로봇틱스 임대형 방역로봇,방역로봇 충전기"
초기화에러,"초기화오류, 오류 메시지발생",HW / 3D 카메라(전면),로봇문제(HW),로봇교체(HW),긴급복구용 로봇 교체,베어 서빙로봇
초기화에러,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",신품화 교체,베어 서빙로봇
초기화에러메세지뜸,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),맵 보정(설정),완료,베어 서빙로봇
초기화오류,로봇 에러(재부팅 필요),SW / UI/UX(LCD 화면표기),로봇문제(SW),리부팅(HW),초기화오류 전원 리부팅,"베어로봇틱스 임대형 방역로봇,방역로봇 충전기"
초기화오류,로봇 에러(재부팅 필요),SW / 자율주행,로봇문제(SW),"S/W, F/W 업그레이드 적용(설정)",버젼업,베어 서빙로봇
초기화중 부팅안됨 som보드 불량추정,Xavier(SW응용부 보드) 불량,HW / Xavier(SW 응용부 컴퓨팅 보드),로봇문제(HW),TX2 불량복구(HW),SOM보그 불량 교체,LG서빙로봇(고객)
초벌실 진입 실패로 멀티로봇 점검요청,"자율주행 오류(멈춤, 금지구역침범 등)",SW / 서비스매니저(서빙/방역 서비스처리),로봇문제(SW),자율주행 로직개선(SW),맵에디터 초벌실 구간 수정,LG서빙로봇(POC)
충돌감지,로봇 에러(재부팅 필요),HW / 바퀴,로봇문제(HW),이물질 제거(라이다/카메라/터치스크린/ 바퀴 등)(환경),센서부 이물질제거,LG 서비스로봇2 임대형
"충전  연결안됨
점검 필요요망",전원부 불량,HW / 전원부,로봇문제(HW),전원부 불량복구(HW),방전후충전안되어 as요청,LG 서빙로봇
충전 불량,전원부 불량,HW / 전원부,로봇문제(HW),전원부 불량복구(HW),어댑터 전원 연결 불량,베어 서빙로봇
충전 안되고 로롯 사용 않됨,기타,외부시스템 / 기타,기타,기타(외부시스템),고객전원불량 차단기 차단,베어 서빙로봇
충전 안됨,전원부 불량,HW / 전원부,로봇문제(HW),로봇교체(HW),로봇교체,"서빙로봇,방역로봇 충전기"
충전 안됨,충전스테이션 불량,HW / 전원부,로봇문제(HW),충전스테이션 불량복구(HW),충전불량,베어 서빙로봇
충전 어댑터 불량으로 충전불,전원부 불량,HW / 전원부,로봇문제(HW),전원부 불량복구(HW),벽면 전원콘센트 접촉불,베어 서빙로봇
충전 잘안됨,전원부 불량,HW / 전원부,로봇문제(HW),수리의뢰(원격수리/수리의뢰 배송)(HW),충전기교체,베어 서빙로봇
충전기 꽂았으나사용하려와보니 방전됨,문의성,HW / 전원부,로봇문제(HW),자연회복(자연회복),양호,LG서빙로봇(POC)
충전기 점검요청,비고장,HW / 전원부,로봇문제(HW),충전스테이션 불량복구(HW),무선충전기리셋,베어로봇틱스 임대형 방역로봇
충전기교체,충전스테이션 불량,HW / 충전스테이션,로봇문제(HW),수리의뢰(원격수리/수리의뢰 배송)(HW),,"방역로봇 충전기,베어로봇틱스 임대형 방역로봇"
충전기교체,충전스테이션 불량,HW / 충전스테이션,로봇문제(HW),수리의뢰(원격수리/수리의뢰 배송)(HW),충전기교체,"베어로봇틱스 임대형 방역로봇,방역로봇 충전기"
충전기교체,충전스테이션 불량,HW / 충전스테이션,로봇문제(HW),수리의뢰(원격수리/수리의뢰 배송)(HW),충전기불량교체,"베어로봇틱스 임대형 방역로봇,방역로봇 충전기"
충전기교체,충전스테이션 불량,HW / 충전스테이션,로봇문제(HW),충전스테이션 불량복구(HW),충전스테이션 교체,"방역로봇 충전기,베어로봇틱스 임대형 방역로봇"
충전기확인,충전스테이션 위치 변경,HW / 충전스테이션,로봇문제(HW),충전스테이션 불량복구(HW),충전기교체,"서빙로봇,방역로봇 충전기"
충전기확인,충전스테이션 위치 변경,HW / 충전스테이션,로봇문제(HW),충전스테이션 불량복구(HW),충전기교체,"서빙로봇,방역로봇 충전기"
충전대기위치 변경요청,매장 내 신규 장애물 발생,설치 / 맵 설정,고객환경(변화),맵 초기화 후 맵 다시 생성(설정),,베어 서빙로봇
충전불,배터리 불량,HW / 전원부,로봇문제(HW),배터리 불량복구(HW),충던베터리 교체,LG 서빙로봇 판매
충전불,비고장,HW / 충전스테이션,로봇문제(HW),자연회복(자연회복),충전off,"베어로봇틱스 판매형 방역로봇,방역로봇 충전기"
충전불,문의성,HW / 전원부,로봇문제(HW),자연회복(자연회복),방전으로 충전불,LG 서빙로봇 판매
충전불,비고장,HW / 전원부,로봇문제(HW),자연회복(자연회복),468970,LG서빙로봇(POC)
충전불,전원부 불량,HW / 전원부,로봇문제(HW),전원부 불량복구(HW),충전기 재접속,베어 서빙로봇
충전불,비고장,HW / 전원부,로봇문제(HW),전원부 불량복구(HW),충전불,베어로봇틱스 판매형 방역로봇
충전불 로봇교체,전원부 불량,HW / 배터리,로봇문제(HW),로봇교체(HW),전원불로 인한단말교체,베어 서빙로봇
충전불 및 에러,비고장,와이파이 / 공유기,무선품질문제,리부팅(HW),정전,베어 서빙로봇
충전불가,전원부 불량,HW / 전원부,로봇문제(HW),수리의뢰(원격수리/수리의뢰 배송)(HW),충전부 불량 제조사 의뢰,LG 서빙로봇
충전불가,문의성,HW / 충전스테이션,로봇문제(HW),전원부 불량복구(HW),충전기접촉불량,베어 서빙로봇
충전불가,전원부 불량,HW / 배터리,로봇문제(HW),전원부 불량복구(HW),완전방전 재충전,LG 서빙로봇
충전불가,비고장,HW / 전원부,로봇문제(HW),충전스테이션 불량복구(HW),메인콘센트 접불하위측 멀티탭교체고객님께 메인콘센트 접불 알림,베어 서빙로봇
충전불가 방문요청,비고장,자연회복 / 자연회복,기타,조작법 안내(고객),완전방전상태 (충전기연결해도 일정시간 화면안뜸),베어 서빙로봇
충전불가 점검요청,매장 내 테이블 배치 변경,SW / 자율주행,로봇문제(SW),자율주행 로직개선(SW),완전방전 테이블 위치변경,LG 서빙로봇 판매
충전불량,비고장,HW / 전원부,로봇문제(HW),리부팅(HW),,"베어로봇틱스 임대형 방역로봇,방역로봇 충전기"
충전불량,로봇 에러(재부팅 필요),HW / 전원부,로봇문제(HW),배터리 불량복구(HW),,베어 서빙로봇
충전불량,전원부 불량,HW / 배터리,로봇문제(HW),배터리 불량복구(HW),,베어 서빙로봇
충전불량,배터리 불량,HW / 배터리,로봇문제(HW),배터리 불량복구(HW),충전불량,LG 서빙로봇 판매
충전불량,충전스테이션 불량,HW / 충전스테이션,로봇문제(HW),수리의뢰(원격수리/수리의뢰 배송)(HW),충전불,"서빙로봇,방역로봇 충전기"
충전불량,문의성,HW / 전원부,로봇문제(HW),자연회복(자연회복),아답터 교체,베어 서빙로봇
충전불량,전원부 불량,문의성 / 기술상담,고객사용법,자연회복(자연회복),,베어 서빙로봇
충전불량,전원부 불량,HW / 전원부,로봇문제(HW),전원부 불량복구(HW),,베어 서빙로봇
충전불량,전원부 불량,HW / 전원부,로봇문제(HW),전원부 불량복구(HW),멀티콘센트 재접속,베어 서빙로봇
충전불량,전원부 불량,HW / 전원부,로봇문제(HW),전원부 불량복구(HW),충전 어뎁터 교체,베어 서빙로봇
충전불량,전원부 불량,HW / 전원부,로봇문제(HW),전원부 불량복구(HW),,베어 서빙로봇
충전불량,충전스테이션 불량,HW / 충전스테이션,로봇문제(HW),충전스테이션 불량복구(HW),충전기불량교체,베어 서빙로봇
충전불량,전원부 불량,HW / 전원부,로봇문제(HW),충전스테이션 불량복구(HW),,"베어로봇틱스 임대형 방역로봇,방역로봇 충전기"
충전불량으로 로봇 특수수요 요청/교체,충전스테이션 불량,HW / 전원부,로봇문제(HW),로봇교체(HW),로봇불량교체,"서빙로봇,방역로봇 충전기"
충전소 위치 변경요청,기타,SW / 서비스매니저(서빙/방역 서비스처리),로봇문제(SW),기타(외부시스템),충전소 위치변경,LG 서비스로봇2 판매형
충전소 위치이동,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",충전소 위치 변경,베어 서빙로봇
충전안됨,전원부 불량,HW / 전원부,로봇문제(HW),전원부 불량복구(HW),1대 충전불가로 LG에서 수리,LG 서빙로봇 판매
충전안됨,충전스테이션 불량,HW / 충전스테이션,로봇문제(HW),충전스테이션 불량복구(HW),충전기2대 교체 완료,베어 서빙로봇
충전안됨 방문요청 10시,전원부 불량,HW / 충전스테이션,로봇문제(HW),충전스테이션 불량복구(HW),충전케이블 빠짐타이랙으로 고정시킴,베어 서빙로봇
충전안됨으로 신고,로봇 에러(재부팅 필요),HW / 전원부,로봇문제(HW),전원부 불량복구(HW),충전기 미접촉,LG 서빙로봇 판매
충전않됨,기타,외부시스템 / 기타,기타,기타(외부시스템),전원 어뎁터 재접촉,베어 서빙로봇
충전어뎁터 잭이  로봇충전단자에 접촉시 오류,전원부 불량,HW / 전원부,로봇문제(HW),전원부 불량복구(HW),충전짹 접촉불량,LG 서빙로봇 판매
충전이 안되고 잘 움직임,비고장,HW / 전원부,로봇문제(HW),전원부 불량복구(HW),양호,베어 서빙로봇
충전이 안된다고함,충전스테이션 불량,HW / 전원부,로봇문제(HW),충전스테이션 불량복구(HW),충전기교체,베어 서빙로봇
충전이 정상적으로 이루어지지 않았다는 메시지가 액정화면에 출력,전원부 불량,HW / 전원부,로봇문제(HW),전원부 불량복구(HW),로봇 전원튜브 불량수리,LG 서빙로봇 판매
충전이상,전원부 불량,HW / 전원부,로봇문제(HW),전원부 불량복구(HW),전원 off,"베어로봇틱스 판매형 방역로봇,방역로봇 충전기"
충전장소 도킹에러,로봇 에러(재부팅 필요),HW / 충전스테이션,로봇문제(HW),자연회복(자연회복),충전장소 도킹에러 점검,"베어로봇틱스 임대형 방역로봇,방역로봇 충전기"
충전장소 및 위치 마커 변경,기타,SW / 자율주행,로봇문제(SW),기타(외부시스템),충전소 및 마커 위치변경,LG 서빙로봇 판매
충전장소 위치변동,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",충전장소변경 맵설정,"서빙로봇,방역로봇 충전기"
충전장소에서 대기장소로 이동오류,매장 내 신규 장애물 발생,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",맵수정,LG서빙로봇(POC)
충전중 로봇꺼짐,전원부 불량,HW / 전원부,로봇문제(HW),전원부 불량복구(HW),"저녁에 충전후 아침에 보면 충전은 되어 있으나 로봇이 꺼져 있음(매일 현상 지속되고 있음), 관제센터 모민규차장에 LG측 점검 의뢰함",LG 서빙로봇 판매
충전확인 로봇주행확인,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",POI위치변경,LG 서빙로봇
충전후 로봇 꺼짐,전원부 불량,HW / 전원부,로봇문제(HW),전원부 불량복구(HW),2대중 1대 충전기 교체,LG 서빙로봇 판매
ㅋㄴㄴ,비고장,비고장 / 기타,기타,,현장출동 주행테스트,"방역로봇 충전기,베어로봇틱스 임대형 방역로봇"
카메라 인식불위치오류,3D 카메라(전면) 불량,SW / 자율주행,로봇문제(SW),Xavier(SW응용부 보드) 불량복구(HW),위치마커 수정.node수정,LG 서빙로봇 판매
카메라 작동 이상으로 길막힘 현상 발생,3D 카메라(전면) 불량,HW / 3D 카메라(전면),로봇문제(HW),로봇교체(HW),로봇교체,베어 서빙로봇
카메라고장,3D 카메라(전면) 불량,HW / 3D 카메라(전면),로봇문제(HW),로봇교체(HW),교체,베어 서빙로봇
카메라불량,3D 카메라(전면) 불량,HW / 3D 카메라(전면),로봇문제(HW),수리의뢰(원격수리/수리의뢰 배송)(HW),카메라불량교체완료,LG 서빙로봇 판매
카운터쪽 주행 이상,문의성,문의성 / 기타,#N/A,,맵 수정,LG 서빙로봇 판매
컨트롤 보드 불량 교체 진행,TX2(HW 센서구동부 보드) 불량,HW / Xavier(SW 응용부 컴퓨팅 보드),로봇문제(HW),로봇교체(HW),컨트롤 보드 불량. 로봇 교체,베어 서빙로봇
크루즈 경로 재설정,매장 내 테이블 배치 변경,문의성 / 기술상담,고객사용법,맵 보정(설정),크루즈 설정변경,LG 서빙로봇 판매
크루즈 경로 재설정 요청,맵 설치 미흡,문의성 / 기술상담,고객사용법,맵 보정(설정),크루즈 방식변경,LG 서빙로봇 판매
크루즈주행요청,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",크루즈주행요청,LG 서빙로봇
태이블 위치변경으로 경로 수정 요청,매장 내 테이블 배치 변경,SW / 자율주행,로봇문제(SW),자율주행 로직개선(SW),경로추가,LG서빙로봇(POC)
터이블위치변경,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),맵 보정(설정),테이블위치변경,베어 서빙로봇
터치 불량,터치패널 불량,HW / 터치패널,로봇문제(HW),로봇교체(HW),터치불량으로 로봇교체,LG 서비스로봇2 판매형
터치불량,터치패널 불량,HW / 터치패널,로봇문제(HW),로봇교체(HW),,베어 서비스로봇2 임대형
터치패드 불량,터치패널 불량,HW / 터치패널,로봇문제(HW),로봇교체(HW),로봇교체,베어 서비스로봇2 임대형
터치패드 불량,터치패널 불량,HW / 터치패널,로봇문제(HW),로봇교체(HW),로봇교체,베어 서비스로봇2 임대형
테마가있는Ai로봇BS활동,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),맵 보정(설정),,LG 서비스로봇2 임대형
테마가있는Ai로봇BS활동,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),맵 보정(설정),,LG 서비스로봇2 임대형
테이블  멈춤 현상,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",,베어 서빙로봇
테이블  멈춤 현상,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",,베어 서빙로봇
테이블 26번 서빙 실패,매장 내 테이블 배치 변경,SW / 자율주행,로봇문제(SW),자율주행 로직개선(SW),정상,베어 서빙로봇
테이블 3곳 위치변경,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),맵 보정(설정),테이블위지변경,베어 서빙로봇
테이블 6개소 위치 변경,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),맵 보정(설정),금지구역 수정 및 POI 수정,LG 서빙로봇 판매
테이블 6번등 도착불,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),맵 보정(설정),"맵 수정,노드추가및 수정등",LG 서빙로봇 판매
테이블 교체에 따른 맵 및 위치 수정,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",테이블 변경,베어 서빙로봇
테이블 구조 변경,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",테이블 3개소 변경카메라 라이다 클리닝,베어 서빙로봇
테이블 번호 변경 및 서빙시 케어,매장 내 신규 장애물 발생,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",엘지로봇에서 베어로봇으로변경,베어 서비스로봇2 임대형
테이블 변경,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",,베어 서빙로봇
테이블 변경 추가,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",map 수정,베어 서빙로봇
테이블 변경에 따른 목적지 수정및 청소작업1층 멀티로봇 2대,비고장,HW / 바퀴,로봇문제(HW),이물질 제거(라이다/카메라/터치스크린/ 바퀴 등)(환경),양호,베어 서빙로봇
테이블 변경에 따른 목적지 수정및 청소작업1층 멀티로봇 2대,자연회복,HW / 바퀴,로봇문제(HW),이물질 제거(라이다/카메라/터치스크린/ 바퀴 등)(환경),양호,베어 서빙로봇
테이블 변경요,매장 내 테이블 배치 변경,SW / 서비스매니저(서빙/방역 서비스처리),로봇문제(SW),"S/W, F/W 업그레이드 적용(설정)",맵수정,베어 서빙로봇
테이블 변경으로 로봇 목적지 변경,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),맵 보정(설정),목적지 변경 및 맵수정,베어 서비스로봇2 임대형
테이블 보내면 엉뚱 한 곳으로 감,매장 내 테이블 배치 변경,SW / 자율주행,로봇문제(SW),자율주행 로직개선(SW),양호,베어 서빙로봇
테이블 수정,기타,SW / 자율주행,로봇문제(SW),기타(외부시스템),고객사 익일 점검요청,LG 서빙로봇 판매
테이블 수정및 충전 안됨,충전스테이션 불량,HW / 배터리,로봇문제(HW),로봇교체(HW),로봇교체,"서빙로봇,방역로봇 충전기"
테이블 위치 변경,매장 내 테이블 배치 변경,SW / 서비스매니저(서빙/방역 서비스처리),로봇문제(SW),기타(외부시스템),테이블 위치 변경,LG 서비스로봇2 임대형
테이블 위치 변경,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",테이블 위치변경,베어 서빙로봇
테이블 위치 변경,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",,LG 서빙로봇 판매
테이블 위치 변경됨,매장 내 테이블 배치 변경,SW / 자율주행,로봇문제(SW),기타(외부시스템),,베어 서빙로봇
테이블 위치 수정,매장 내 신규 장애물 발생,설치 / 맵 설정,고객환경(변화),맵 초기화 후 맵 다시 생성(설정),테이블 위치변경으로 신규맵핑,베어 서빙로봇
테이블 위치변경,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),맵 보정(설정),금지구역수정,베어 서빙로봇
테이블 위치변경,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),맵 보정(설정),테이블위치변경,LG서빙로봇(고객)
테이블 위치변경,매장 내 신규 장애물 발생,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",테이블이동,베어 서비스로봇2 임대형
테이블 위치변경,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",맵 수정(테이블위치 변경),베어 서빙로봇
테이블 위치변경,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),장애물 제거(환경),테이블 위치 수정,LG서빙로봇(고객)
테이블 위치변경,매장 내 신규 장애물 발생,SW / 서비스매니저(서빙/방역 서비스처리),로봇문제(SW),"S/W, F/W 업그레이드 적용(설정)",맵재설치,LG 서빙로봇 판매
테이블 위치변경 방문요청,매장 내 테이블 배치 변경,SW / 자율주행,로봇문제(SW),기타(외부시스템),테이블 위치변경으로 서빙위치 재설정,베어 서빙로봇
테이블 위치변경서빙위치 변경요청,"자율주행 오류(멈춤, 금지구역침범 등)",설치 / 맵 설정,고객환경(변화),맵 보정(설정),노드 재수정,베어 서비스로봇2 임대형
테이블 위치변경으로 방문요청,매장 내 테이블 배치 변경,SW / 자율주행,로봇문제(SW),기타(외부시스템),테이블 변경으로 서빙위치 재설정,베어 서빙로봇
테이블 위치조정,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",,LG서빙로봇(POC)
테이블 위치조정및 멈춤현상발생,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",,베어 서빙로봇
테이블 이동 점검요청,매장 내 테이블 배치 변경,SW / 서비스매니저(서빙/방역 서비스처리),로봇문제(SW),자율주행 로직개선(SW),"금지구역,서빙포인트 수정",베어 서빙로봇
테이블 이동으로 로봇동선 수정 요청,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),맵 보정(설정),테이블이동으로 동성 수정,베어 서빙로봇
테이블 이동으로 맵 재설치 요청,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),맵 초기화 후 맵 다시 생성(설정),재설치 완료 2월에 테이블 위치 변경한다고 하심,베어로봇틱스 판매형 방역로봇
테이블 이동으로 서빙포인트 조정 및 맵 수정,매장 내 테이블 배치 변경,SW / 서비스매니저(서빙/방역 서비스처리),로봇문제(SW),자율주행 로직개선(SW),맵수정 및 서빙위치 조정,베어 서비스로봇2 임대형
테이블 이동으로 포인트 위치 변경요청,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),리부팅(HW),맵수정,베어 서빙로봇
테이블 일부 수정및 버전업 완료,"맵핑오류, 라이다 틀어짐",설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",목적지 수정,베어 서빙로봇
테이블 일부 위치변경 요청,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",테이블 위치 변경 요청,베어 서빙로봇
테이블 일부수정및 버전업,수동조작에 따른 맵 정보 불일치,설치 / 맵 설정,고객환경(변화),맵 보정(설정),목적지 수정,베어 서빙로봇
테이블 장소변경으로 mac재등록 요청,,,고객환경(변화),,,베어 서빙로봇
테이블 재배치,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),맵 보정(설정),,베어 서빙로봇
테이블 재배치,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),맵 보정(설정),,베어 서빙로봇
테이블 재배치,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",,베어 서빙로봇
테이블 주행중 멈춤,매장 내 신규 장애물 발생,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",,베어 서빙로봇
테이블 추가,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",,베어 서빙로봇
테이블 추가및 변경작업로봇 재맵핑 요청,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",매장내 목적지 재설정,베어 서빙로봇
테이블 포인트 추가지정,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",테이블 포인트 추가,베어 서빙로봇
테이블2개추가,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),맵 초기화 후 맵 다시 생성(설정),테이블 추가로 맵재구성,베어 서비스로봇2 임대형
테이블등 설변요청,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",테이블 재배치로 위치 및 동선변경요청 작업,베어 서빙로봇
테이블로  안가서 대기장소오고 다시 보내니 되었다고함,"자율주행 오류(멈춤, 금지구역침범 등)",SW / 자율주행,로봇문제(SW),"S/W, F/W 업그레이드 적용(설정)",버전업 후 양호,베어 서빙로봇
테이블로 서빙 보냈는데 안 움직임,로봇 에러(재부팅 필요),SW / 자율주행,로봇문제(SW),장애물 제거(환경),재부팅 후 정상주행,LG 서비스로봇2 임대형
테이블변경,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",테이블위치 변경,베어 서빙로봇
테이블오더 설치 후 로봇 위치변경요청,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",,LG 서빙로봇 판매
