이슈,원인,조치결과
[상품명] 방역로봇[신고자/연락처] 전인송 / 031-5182-9102[문의(고장)내용] 에러 /청소구역 경로 이동불가 /[답변(진단)내용] 리셋 동일증상 / 관제센터 통화 불가 (02-3678-0410) [기타],[상품명] 방역로봇[신고자/연락처] 전인송 / 031-5182-9102[문의(고장)내용] 에러 /청소구역 경로 이동불가 /[답변(진단)내용] 리셋 동일증상 / 관제센터 통화 불가 (02-3678-0410) [기타],수리완료
냉장고이전장애물위치 수정요청,냉장고이전장애물위치 수정요청,맵수정 완료
일부목적지 오류,일부목적지 오류,맵 및 목적지수정
로봇 멈춤,로봇 멈춤,재배치 라이다 이물질제거
[상품명]서빙로봇[신고자/연락처]김영우/010-7432-3011[문의(고장)내용]화면 on/off함[답변(진단)내용]로봇 전원 재부팅함. [기타]kt직원 접수 진행,[상품명]서빙로봇[신고자/연락처]김영우/010-7432-3011[문의(고장)내용]화면 on/off함[답변(진단)내용]로봇 전원 재부팅함. [기타]kt직원 접수 진행,tof불량
사각트레이 교체요청,사각트레이 교체요청,
청소하면서 로봇 작동이 안됨,청소하면서 로봇 작동이 안됨,사용미숙
일자주행시 에러,일자주행시 에러,Scan센서 라이다 클린징 맵수정
주행에러,주행에러,Scan센서 라이다 클린징 맵 수정
주행올류 수정,주행올류 수정,맵수정
[상품명] 서빙로봇[신고자/연락처] 양현희/010-9595-6180[문의(고장)내용] 벽면 스켄 안됨[답변(진단)내용] 현장 서명훈 과장님 통화 연락처 안내[기타],[상품명] 서빙로봇[신고자/연락처] 양현희/010-9595-6180[문의(고장)내용] 벽면 스켄 안됨[답변(진단)내용] 현장 서명훈 과장님 통화 연락처 안내[기타],
로봇초기화오류개통이필요합니다,로봇초기화오류개통이필요합니다,정지로인한 서비스중지
[상품명]서빙로봇[신고자/연락처]고객/010-9934-1223[신고(고장)내용]로봇 이상으로 점검요청[답변(진단)내용][기타/추가연락처],[상품명]서빙로봇[신고자/연락처]고객/010-9934-1223[신고(고장)내용]로봇 이상으로 점검요청[답변(진단)내용][기타/추가연락처],로봇 오동작
장애,장애,
로봇 충전안됨,로봇 충전안됨,완전방전 재충전
로봇 충전안됨,로봇 충전안됨,완전방전 전원 off on후 충전
테이블 보내면 엉뚱 한 곳으로 감,테이블 보내면 엉뚱 한 곳으로 감,양호
[상품명]서빙로봇[신고자/연락처]서숙정/010-7154-1022[문의(고장)내용]1.23번테이블에서 음식내력놓기 위한 턴못함/ 2. 완쪽공간으로 배송시 테이블에 너무 붙어서 감/3 특정테이블은 턴할때 부딪치면서 넘어지려고 함[답변(진단)내용]긴급조치요/ ★12일 고장접수했는데 조치안됨 불만[기타],[상품명]서빙로봇[신고자/연락처]서숙정/010-7154-1022[문의(고장)내용]1.23번테이블에서 음식내력놓기 위한 턴못함/ 2. 완쪽공간으로 배송시 테이블에 너무 붙어서 감/3 특정테이블은 턴할때 부딪치면서 넘어지려고 함[답변(진단)내용]긴급조치요/ ★12일 고장접수했는데 조치안됨 불만[기타],테이블 위치이동및 이동장소 변경
운행 불,운행 불,
로드수정요청,로드수정요청,
"[상품명][신고자/연락처]010-3038-4705 류현[문의(고장)내용]길이 막혔어요,,작동불[답변(진단)내용]로봇 이동 통로에 장애물 없다하시며,, 금지구역내 끼어있지 않다고 하시며 넓은 공간으로 밀어도 동일하다하심[기타]","[상품명][신고자/연락처]010-3038-4705 류현[문의(고장)내용]길이 막혔어요,,작동불[답변(진단)내용]로봇 이동 통로에 장애물 없다하시며,, 금지구역내 끼어있지 않다고 하시며 넓은 공간으로 밀어도 동일하다하심[기타]",공유기불량교체
멀티운행안됨 충돌점검요청,멀티운행안됨 충돌점검요청,wifi 접속오류로인하 멀티로봇기능 안됨
로봇 특수수요요청 교체,로봇 특수수요요청 교체,필터교체
특수수요요청 교체,특수수요요청 교체,특수수요요청 교체
충전이 안된다고함,충전이 안된다고함,충전기교체
[상품명]방역로봇 [신고자/연락처]민지홍 055 351 2875[문의(고장)내용]원래 움직으는 방향에서 다른 방향으로 움직이고 갑자기 멈춘다고 함. [답변(진단)내용]리셋후 미복구 [기타],[상품명]방역로봇 [신고자/연락처]민지홍 055 351 2875[문의(고장)내용]원래 움직으는 방향에서 다른 방향으로 움직이고 갑자기 멈춘다고 함. [답변(진단)내용]리셋후 미복구 [기타],
[상품명]서빙로봇[신고자/연락처]010-5388-5800 담당자[문의(고장)내용]작동이 안됨[답변(진단)내용]점검요청[기타],[상품명]서빙로봇[신고자/연락처]010-5388-5800 담당자[문의(고장)내용]작동이 안됨[답변(진단)내용]점검요청[기타],
전원꺼짐 충전안됨,전원꺼짐 충전안됨,충전기불량
주말에 로봇 작동불,주말에 로봇 작동불,테이블 위치변경
[상품명]서빙로봇[신고자/연락처]유희아/010-3368-6092[문의(고장)내용]전원이 자꾸 꺼진다고 하심[답변(진단)내용]재부팅 동일증상/방문 점검 요망[기타],[상품명]서빙로봇[신고자/연락처]유희아/010-3368-6092[문의(고장)내용]전원이 자꾸 꺼진다고 하심[답변(진단)내용]재부팅 동일증상/방문 점검 요망[기타],충전기 코드빠짐
"[상품명]서빙로봇[신고자/연락처]010-3855-8900[문의(고장)내용]서비스중 표시되는데  작동 불/ 전원리셋후 상태 동일[답변(진단)내용]로봇 전원리셋후 동일상태, 긴급조치요청신고자: 010-3077-7574[기타]","[상품명]서빙로봇[신고자/연락처]010-3855-8900[문의(고장)내용]서비스중 표시되는데  작동 불/ 전원리셋후 상태 동일[답변(진단)내용]로봇 전원리셋후 동일상태, 긴급조치요청신고자: 010-3077-7574[기타]",som보드교체
음량불량,음량불량,환경재설정
텡블 23번 및 24번 배달시 충돌 감지,텡블 23번 및 24번 배달시 충돌 감지,양호
속도변경 요청,속도변경 요청,속도변경및 설정방법 설명
로봇운행불가,로봇운행불가,som보드교체
위치이탈 설정요청,위치이탈 설정요청,충전후 위치재설정
로봇 충전 안됨,로봇 충전 안됨,충전기 정상 충전 확인
[상품명][신고자/연락처]010-4089-7553 정성순대/010-8507-3196 KTS대신신고주심[문의(고장)내용]로봇이 움직이지 않아요[답변(진단)내용]통로에 장애물 없으며 로봇자체가 전원을 리부팅해도 동작안된다하심[기타],[상품명][신고자/연락처]010-4089-7553 정성순대/010-8507-3196 KTS대신신고주심[문의(고장)내용]로봇이 움직이지 않아요[답변(진단)내용]통로에 장애물 없으며 로봇자체가 전원을 리부팅해도 동작안된다하심[기타],장비 swap
[상품명] 서빙로봇[신고자/연락처]  김윤한 01035462532[문의(고장)내용] 작동안되어 초기화 했다심[답변(진단)내용] 원격확인불,[상품명] 서빙로봇[신고자/연락처]  김윤한 01035462532[문의(고장)내용] 작동안되어 초기화 했다심[답변(진단)내용] 원격확인불,로봇 초기화로 재설정후 양호
로봇작동되지않음,로봇작동되지않음,운행안됨
로봇운행불,로봇운행불,무선랜비활성
로봇 운행경로 수정,로봇 운행경로 수정,목적지 위치 변경
부팅중 에러발생,부팅중 에러발생,로봇불량수리의뢰(제조사방문후처리예정
로봇 작동불,로봇 작동불,로봇본체불량
전원불량,전원불량,양호
전원이 안켜짐,전원이 안켜짐,양호
로봇이 테이블까지 못가요,로봇이 테이블까지 못가요,노드조정 및 금지구역 재설정
테이블추가,테이블추가,테이블 추가로 맵 수정
주행오류,주행오류,로봇 설정 변경 및 맵 수정
로봇 운행 오류,로봇 운행 오류,로봇 운행 불량으로 교체요청
[상품명] 서빙로봇[신고자/연락처] 01083062451[문의(고장)내용] 미작동/유선상 내용전달[답변(진단)내용] 점검요,[상품명] 서빙로봇[신고자/연락처] 01083062451[문의(고장)내용] 미작동/유선상 내용전달[답변(진단)내용] 점검요,양호
[상품명] 방역로봇[신고자/연락처] 전인송 / 031-5182-9102[문의(고장)내용] 에러 /청소구역 경로 이동불가 /[답변(진단)내용] 리셋 동일증상 / 관제센터 통화 불가 (02-3678-0410) as후에 3일 정상작동되었으나  동일증상계속발생 빠른 점검요청 [기타],[상품명] 방역로봇[신고자/연락처] 전인송 / 031-5182-9102[문의(고장)내용] 에러 /청소구역 경로 이동불가 /[답변(진단)내용] 리셋 동일증상 / 관제센터 통화 불가 (02-3678-0410) as후에 3일 정상작동되었으나  동일증상계속발생 빠른 점검요청 [기타],"장애물 변경, 맵수정"
충돌감지,충돌감지,센서부 이물질제거
에이전트 업데이트,에이전트 업데이트,
와이파이 이상및 복귀안됨,와이파이 이상및 복귀안됨,와이파이 재설정및 무게센서 초기화
[상품명]서빙로봇[신고자/연락처]손지혜/010-8634-3692[문의(고장)내용]로봇2대 운용중/주행관련 방문 점검 요청/임의로 움직인다고 하심[답변(진단)내용]빠른 점검 요망[기타],[상품명]서빙로봇[신고자/연락처]손지혜/010-8634-3692[문의(고장)내용]로봇2대 운용중/주행관련 방문 점검 요청/임의로 움직인다고 하심[답변(진단)내용]빠른 점검 요망[기타],베어로보틱스 현장 방문건 / 기타 로봇 사용 못한건에 대해서 연락했으나 연락불
로봇 부팅불,로봇 부팅불,로봇 부팅 불량 swap판정
방역불가 증상,방역불가 증상,환경변화로 맵 수정작업
서빙테이블 추가,서빙테이블 추가,신규테이블 발생으로 경로 및 목적지 수정작업
방역운행 불가,방역운행 불가,환경변화로 맵수정 작업
멀티 이상점검 요청,멀티 이상점검 요청,버전 업데이트 완료
멀티이상 점검요청,멀티이상 점검요청,버전 업데이트 완료
[상품명]방역로봇 / 민원심함[신고자/연락처]조일환 / 010-5038-8905 경산시의회사무국 [문의(고장)내용]로봇전워꺼짐[답변(진단)내용]방문 점검요청 [기타],[상품명]방역로봇 / 민원심함[신고자/연락처]조일환 / 010-5038-8905 경산시의회사무국 [문의(고장)내용]로봇전워꺼짐[답변(진단)내용]방문 점검요청 [기타],"방역경로상 멈춤  =>밧데리 방전상태는 아니며 방역경로 수정,고객 스케쥴 시간 추가 설정된 상태"
특수수요 긴급 AS교체,특수수요 긴급 AS교체,특수수요 긴급AS 교체작업
음원불량,음원불량,비고장
"[상품명]서빙로봇[신고자/연락처]강상선 010-2281-1150[문의(고장)내용]서비스계약id-S0043162210,S0043162270 오작동 발생[답변(진단)내용]장애물이 있어서 못넘어간다고함[기타]","[상품명]서빙로봇[신고자/연락처]강상선 010-2281-1150[문의(고장)내용]서비스계약id-S0043162210,S0043162270 오작동 발생[답변(진단)내용]장애물이 있어서 못넘어간다고함[기타]",대기 위치 변경 맾수정
테이블 이동으로 서빙포인트 조정 및 맵 수정,테이블 이동으로 서빙포인트 조정 및 맵 수정,맵수정 및 서빙위치 조정
로봇 초기화 오류 교체요청,로봇 초기화 오류 교체요청,로봇교체
로봇 충전위치 못찾음로봇 동작이상,로봇 충전위치 못찾음로봇 동작이상,로봇재부팅 및 로그분석
로봇 부팅 에러 no signal,로봇 부팅 에러 no signal,로봇 불량교처
로봇 주행경로 정정,로봇 주행경로 정정,재맵설정
동작 불가,동작 불가,완전방전 충전방법 재안내
[야간긴급수배][상품명]서빙로봇 bn!S0041166190[신고자/연락처]신혁진 010-4734-2969[문의(고장)내용]초기화를 잘못하여 접수 요청[답변(진단)내용]접수 안내[기타],[야간긴급수배][상품명]서빙로봇 bn!S0041166190[신고자/연락처]신혁진 010-4734-2969[문의(고장)내용]초기화를 잘못하여 접수 요청[답변(진단)내용]접수 안내[기타],고객 초기화후 본지점설정함 주행테스트 정상
"[상품명]서빙로봇(2대중 1대고장)[신고자/연락처]010-6573-9636 이재희[문의(고장)내용]전원투입시 다시 시작해주세요 메시지, 다시 시작시켜도 동일 메시지 발생[답변(진단)내용]사업장에 로봇 2대 사용중으로 조작미숙은 아님[기타]","[상품명]서빙로봇(2대중 1대고장)[신고자/연락처]010-6573-9636 이재희[문의(고장)내용]전원투입시 다시 시작해주세요 메시지, 다시 시작시켜도 동일 메시지 발생[답변(진단)내용]사업장에 로봇 2대 사용중으로 조작미숙은 아님[기타]",일시 오류
로봇와이파이 불안머뭇거림,로봇와이파이 불안머뭇거림,와이파이설정 재조정등
충전어뎁터 잭이  로봇충전단자에 접촉시 오류,충전어뎁터 잭이  로봇충전단자에 접촉시 오류,충전짹 접촉불량
충전불 로봇교체,충전불 로봇교체,전원불로 인한단말교체
갑자기 주행이 이상해졌다함,갑자기 주행이 이상해졌다함,위치 재조정
마이크/스피커 불량,마이크/스피커 불량,특수수요 긴급AS 교체작업
서빙로봇 오류 껏다 켜도 안됨 방문하여 점검해주세요,서빙로봇 오류 껏다 켜도 안됨 방문하여 점검해주세요,서빙대기오류
[상품명]서빙로봇LG[신고자/연락처]유성미/01098208817[문의(고장)내용]서비스 대기중이라고만 나옴[답변(진단)내용]로봇OFF/ON해도 마찬가지[기타],[상품명]서빙로봇LG[신고자/연락처]유성미/01098208817[문의(고장)내용]서비스 대기중이라고만 나옴[답변(진단)내용]로봇OFF/ON해도 마찬가지[기타],LG측som보드 교체요청
로봇 대기위치 및 목적지수정,로봇 대기위치 및 목적지수정,서빙대기위치 수정
LG멀티로봇 2대중 1대 와이파이 수시 꺼짐 으로 lg측으로 배송후 대체로봇 개통,LG멀티로봇 2대중 1대 와이파이 수시 꺼짐 으로 lg측으로 배송후 대체로봇 개통,lg로봇 대체로봇 교체작업
서빙포인트 조정 요청,서빙포인트 조정 요청,서빙포인트 조정
POC개통후 포인트 위치변경,POC개통후 포인트 위치변경,POC 사후캐어
주행에러,주행에러,위치변경 및 주행에러로 베어사 분석요청
충전소 위치이동,충전소 위치이동,충전소 위치 변경
[상품명]베어서빙로복[신고자/연락처]이상현 010-5000-8892[문의(고장)내용]충전위치 변경 설정 요청및 중간중간 테이블 서지않고 그냥 한바퀴 돌게 로드맵 재설정요청[답변(진단)내용] 충전위치 변경및 로드맵 변경요청[기타],[상품명]베어서빙로복[신고자/연락처]이상현 010-5000-8892[문의(고장)내용]충전위치 변경 설정 요청및 중간중간 테이블 서지않고 그냥 한바퀴 돌게 로드맵 재설정요청[답변(진단)내용] 충전위치 변경및 로드맵 변경요청[기타],
[상품명] 방역로봇[신고자/연락처] 권인송 / 010-8688-2347[문의(고장)내용]최근들어 자주 장애물이 없는데도 장애물이 있다고 에러 메시지 뜨면서 안됨[답변(진단)내용]전원 리부팅 및 다른 장소 옮겨봐도 동일 메시지 뜸  [기타],[상품명] 방역로봇[신고자/연락처] 권인송 / 010-8688-2347[문의(고장)내용]최근들어 자주 장애물이 없는데도 장애물이 있다고 에러 메시지 뜨면서 안됨[답변(진단)내용]전원 리부팅 및 다른 장소 옮겨봐도 동일 메시지 뜸  [기타],"위치 잃어버림, 위치재배치 방법 고객께 안내"
멀티운용중 오류,멀티운용중 오류,재부팅 수리완료
무선충전 잘 안됨,무선충전 잘 안됨,충전장소 위치변경
맵수정요청,맵수정요청,맵수정
[상품명]서빙로봇 [신고자/연락처]김혜진 010 9767 5724[문의(고장)내용]단말기에 에러메세지 ㄸ고 작동불 [답변(진단)내용]리셋후 미복구 [기타],[상품명]서빙로봇 [신고자/연락처]김혜진 010 9767 5724[문의(고장)내용]단말기에 에러메세지 ㄸ고 작동불 [답변(진단)내용]리셋후 미복구 [기타],베어사측 로봇구동 보드불량교체 판정 교체 예정
SWAP 판정,SWAP 판정,고장판정으로 교체 진행
[상품명]서빙로봇[신고자/연락처]송병관/01090934588[문의(고장)내용]로봇이 대기장소로 이동시키면 다른장소로 이동함[답변(진단)내용]원격조치가 불가해서 현장 수배 처리함[기타],[상품명]서빙로봇[신고자/연락처]송병관/01090934588[문의(고장)내용]로봇이 대기장소로 이동시키면 다른장소로 이동함[답변(진단)내용]원격조치가 불가해서 현장 수배 처리함[기타],사용자 퇴사로 신규사용자 시용방법 미숫
2층 1대불통,2층 1대불통,라이다 에러
서빙로봇 불통,서빙로봇 불통,재배치
로봇 길 못찾음긴급조치요청,로봇 길 못찾음긴급조치요청,재부팅 위치재배치
2층 경로수정 요청,2층 경로수정 요청,주행경로 수정
멀티 기능 불,멀티 기능 불,양호
[상품명]서빙로봇[신고자/연락처]010-3613-6531[문의/고장 내용] 주행중 경로이달 [답변/진단/내용] 로봇 재부팅 동일[기타],[상품명]서빙로봇[신고자/연락처]010-3613-6531[문의/고장 내용] 주행중 경로이달 [답변/진단/내용] 로봇 재부팅 동일[기타],위치마크 재 인식 및 각 센서크리닝(카메라포함) 후 모니터링
로봇 AP점검 요청,로봇 AP점검 요청,Ap재설정
LTE불량,LTE불량,로봇교체
로봇 안움직임,로봇 안움직임,
[상품명]로봇[신고자/연락처]차준혁 010-6603-8042[문의(고장)내용]로봇 충전 안된다심[답변(진단)내용]빠른 연락 요청 하심[기타],[상품명]로봇[신고자/연락처]차준혁 010-6603-8042[문의(고장)내용]로봇 충전 안된다심[답변(진단)내용]빠른 연락 요청 하심[기타],로봇 방전으로 충전
[상품명] 서빙로봇[신고자/연락처] 이효건 010 9478 5982[문의(고장)내용] 충전안됨 멘트 표시된다함[답변(진단)내용] 메뉴얼 따라 조치해도 안된다함[기타],[상품명] 서빙로봇[신고자/연락처] 이효건 010 9478 5982[문의(고장)내용] 충전안됨 멘트 표시된다함[답변(진단)내용] 메뉴얼 따라 조치해도 안된다함[기타],
전원충전불,전원충전불,충전기접촉불량
로봇주행이상,로봇주행이상,tof센서오염
로봇교체,로봇교체,
[상품명] 로봇 [신고자/연락처] 김명진 01075826010[문의(고장)내용] 3058545568  로봇 맵을 못찾음[답변(진단)내용] 전원리셋해도 동일 증성[기타],[상품명] 로봇 [신고자/연락처] 김명진 01075826010[문의(고장)내용] 3058545568  로봇 맵을 못찾음[답변(진단)내용] 전원리셋해도 동일 증성[기타],금지구역 재설정
[상품명]서빙로봇[신고자/연락처]공주/01044275852[문의(고장)내용]로봇동작오류[답변(진단)내용]원격조치가 불가해서 현장 수배 처리함[기타],[상품명]서빙로봇[신고자/연락처]공주/01044275852[문의(고장)내용]로봇동작오류[답변(진단)내용]원격조치가 불가해서 현장 수배 처리함[기타],맵수정 재부팅
[상품명]서빙로봇[신고자/연락처]손지혜/010-8634-3692[문의(고장)내용]로봇2대 운용중/주행관련 방문 점검 요청/임의로 움직인다고 하심[답변(진단)내용]23일접수했는데 현장방무안함[기타],[상품명]서빙로봇[신고자/연락처]손지혜/010-8634-3692[문의(고장)내용]로봇2대 운용중/주행관련 방문 점검 요청/임의로 움직인다고 하심[답변(진단)내용]23일접수했는데 현장방무안함[기타],
[상품명]LG 서비스로봇[신고자/연락처]01099341223[문의(고장)내용]로봇 멈춤[답변(진단)내용]점검요청[기타],[상품명]LG 서비스로봇[신고자/연락처]01099341223[문의(고장)내용]로봇 멈춤[답변(진단)내용]점검요청[기타],lg수리의뢰
로봇부팅오류 초기화오류,로봇부팅오류 초기화오류,임시교체수리
초기화 오류  로봇교체,초기화 오류  로봇교체,로봇불량으로인한 교체잡업
[상품명][신고자/연락처]010-7900-3238  설재훈[문의(고장)내용]충전 매일 할때마다 자꾸 수동으로 자기 위치를 잡아 달라고 하고 늘 인식을 잘 못해요 할 때마다 얘가 자꾸 수동으로 자기 위치를 잡아 달라고 하고 늘 인식을 잘 못해요홈하고 완전 불러줘갖고 되기 때문에 스트레스 많이 받음[답변(진단)내용]시시장애로 정밀요청[기타],[상품명][신고자/연락처]010-7900-3238  설재훈[문의(고장)내용]충전 매일 할때마다 자꾸 수동으로 자기 위치를 잡아 달라고 하고 늘 인식을 잘 못해요 할 때마다 얘가 자꾸 수동으로 자기 위치를 잡아 달라고 하고 늘 인식을 잘 못해요홈하고 완전 불러줘갖고 되기 때문에 스트레스 많이 받음[답변(진단)내용]시시장애로 정밀요청[기타],로봇충전방법 재설명
[상품명]서빙로봇[신고자/연락처]소명란/01095909575[문의(고장)내용]로봇이 동작하지 않음[답변(진단)내용]원격조치가 불가해서 현장 수배 처리함[기타],[상품명]서빙로봇[신고자/연락처]소명란/01095909575[문의(고장)내용]로봇이 동작하지 않음[답변(진단)내용]원격조치가 불가해서 현장 수배 처리함[기타],조작법 안내
맵변경 요청,맵변경 요청,층이동(3층-->4층)
로봇멈추고 움직이지않음,로봇멈추고 움직이지않음,고객사 로봇배터리 방전
일부구간 버벅임으로 맵 재설치,일부구간 버벅임으로 맵 재설치,일부구간 버벅임으로 맵 재설치 (간소화버전)
[상품명]서빙로봇[신고자/연락쳐]010-9767-5724 김혜진[문의(고장)내용]아랫칸 물건이 없는데 감지하고있음[답변(진단)내용]초기화 하면 처음은 되다 다시 안됨[기타],[상품명]서빙로봇[신고자/연락쳐]010-9767-5724 김혜진[문의(고장)내용]아랫칸 물건이 없는데 감지하고있음[답변(진단)내용]초기화 하면 처음은 되다 다시 안됨[기타],로봇교체
주행 및 충전기 이상,주행 및 충전기 이상,전원이상 주행위치 맵수정
로봇1대 복귀불가,로봇1대 복귀불가,복귀이상 ToF클린징 재설정
로봇 화면 꺼짐,로봇 화면 꺼짐,전원꺼짐 ON정상
[상품명][신고자/연락처]010-7900-3238  설재훈[문의(고장)내용]충전 매일 할때마다 자꾸 수동으로 자기 위치를 잡아 달라고 하고 늘 인식을 잘 못해요 할 때마다 얘가 자꾸 수동으로 자기 위치를 잡아 달라고 하고 늘 인식을 잘 못해요홈하고 완전 불러줘갖고 되기 때문에 스트레스 많이 받음[답변(진단)내용]시시장애로 정밀요청[기타],[상품명][신고자/연락처]010-7900-3238  설재훈[문의(고장)내용]충전 매일 할때마다 자꾸 수동으로 자기 위치를 잡아 달라고 하고 늘 인식을 잘 못해요 할 때마다 얘가 자꾸 수동으로 자기 위치를 잡아 달라고 하고 늘 인식을 잘 못해요홈하고 완전 불러줘갖고 되기 때문에 스트레스 많이 받음[답변(진단)내용]시시장애로 정밀요청[기타],로봇충전방법 재설명
[상품명]서빙로봇[신고자/연락처]손지혜/010-8634-3692[문의(고장)내용]로봇2대 운용중/주행관련 방문 점검 요청/임의로 움직인다고 하심[답변(진단)내용]23일접수했는데 현장방무안함[기타],[상품명]서빙로봇[신고자/연락처]손지혜/010-8634-3692[문의(고장)내용]로봇2대 운용중/주행관련 방문 점검 요청/임의로 움직인다고 하심[답변(진단)내용]23일접수했는데 현장방무안함[기타],
로봇점검요청,로봇점검요청,사용법 재설명
주행경로 에폭시 공사,주행경로 에폭시 공사,주행통로 공사로 맵수정
로봇점검요청,로봇점검요청,테이블변경으로 맵 수정
주행에러 충전에러,주행에러 충전에러,청약후 리부팅한번도 안하심 리부팅후 주행양호 방전시 조치안내
멀티5대 주행에러,멀티5대 주행에러,5대 멀티주행에러 일부로봇 재배치오류로 복구후 재배치방법 재교육
업종변경 재오픈일고정장애물변경 및 추가,업종변경 재오픈일고정장애물변경 및 추가,
로봇 자율주행차 이상 점검 요청,로봇 자율주행차 이상 점검 요청,위치재설정 완료
위치이탈 점검요청,위치이탈 점검요청,위치재설정 완료
목적지를 못찾아감,목적지를 못찾아감,양호
특정구간 주행안됨,특정구간 주행안됨,렌즈클리닝및 지도 수정
로봇부팅오류 초기화오류,로봇부팅오류 초기화오류,임시교체수리
로봇교체,로봇교체,로봇교체
lg로봇 제조사 수리 후 복귀재설치및 테스트,lg로봇 제조사 수리 후 복귀재설치및 테스트,LG멀티로봇중 1대 제조사 와이파이모듈 수리 후 재설치 작업
로봇 오작동 빠른조치 부탁드립니다,로봇 오작동 빠른조치 부탁드립니다,카메라및 라이더센서 카메라 클리닝
로봇이 운행중 벽에  붙어 가는 현상,로봇이 운행중 벽에  붙어 가는 현상,양호
로봇 미동작,로봇 미동작,양호
로봇이 움직이지 않고 빙글빙글 돌기만함,로봇이 움직이지 않고 빙글빙글 돌기만함,주행설정 변경
충전중 로봇꺼짐,충전중 로봇꺼짐,"저녁에 충전후 아침에 보면 충전은 되어 있으나 로봇이 꺼져 있음(매일 현상 지속되고 있음), 관제센터 모민규차장에 LG측 점검 의뢰함"
[상품명]로봇[신고자/연락처]강대준/01087529909[문의(고장)내용]맵다시 그려야된다고 하심[답변(진단)내용]고객님 통화필요[기타],[상품명]로봇[신고자/연락처]강대준/01087529909[문의(고장)내용]맵다시 그려야된다고 하심[답변(진단)내용]고객님 통화필요[기타],테이블 9개소 이동맵보정수리
장애물인식,장애물인식,맵보정
[상품명][신고자/연락처]010-7113-8311 김대환/010-3060-7759 인입[문의(고장)내용]로봇 다리하나 바퀴가 나옴[답변(진단)내용]다리 바퀴 빠짐[기타],[상품명][신고자/연락처]010-7113-8311 김대환/010-3060-7759 인입[문의(고장)내용]로봇 다리하나 바퀴가 나옴[답변(진단)내용]다리 바퀴 빠짐[기타],
무선충전기 바코드 현행화,무선충전기 바코드 현행화,무선충전기 바코드 현행화
무선충전이 잘 안됨,무선충전이 잘 안됨,맵수정
충전후 로봇 꺼짐,충전후 로봇 꺼짐,2대중 1대 충전기 교체
로봇 장애물 걸림 현상 점검요청,로봇 장애물 걸림 현상 점검요청,로봇 장애물 걸림 현상
자리이동 재배치요망,자리이동 재배치요망,자리 재배치
[상품명]LG서빙로봇[신고자/연락처]한용수/010-2376-0925[문의(고장)내용]테이블충돌 자주발생[답변(진단)내용] 동일내용으로 여러번 AS받으셨다고 함 빠른점검조치요청[기타]로봇교체 및 영업손실보상 요구,[상품명]LG서빙로봇[신고자/연락처]한용수/010-2376-0925[문의(고장)내용]테이블충돌 자주발생[답변(진단)내용] 동일내용으로 여러번 AS받으셨다고 함 빠른점검조치요청[기타]로봇교체 및 영업손실보상 요구,lg전자 로봇 수거 수리
[상품명]서빙로봇 [고객명/연락처]김종만 010 6768 4967[불편사항]주쟁중 멈춤 및 장애 인지 불로 고장접수 요청하심. [진단결과][기타],[상품명]서빙로봇 [고객명/연락처]김종만 010 6768 4967[불편사항]주쟁중 멈춤 및 장애 인지 불로 고장접수 요청하심. [진단결과][기타],
[상품명]서빙로봇[신고자/연락처]문청/01066818600[문의(고장)내용]전원불[답변(진단)내용]원격조치가 불가해서 현장 수배 처리함[기타],[상품명]서빙로봇(긴급처리요청)[신고자/연락처]문청/01066818600[문의(고장)내용]전원불[답변(진단)내용]원격조치가 불가해서 현장 수배 처리함[기타],충전기 접촉불량
로봇이 안켜짐,로봇이 안켜짐,
"[상품명] 서빙로봇[신고자/연락처] 이단비/010-4036-6902[문의(고장)내용] 서빙로봇 네트워크 연결안됨, 5G 연결비밀번호 확인방법문의[답변(진단)내용] 관제문의 사업장 사설 공유기의 비밀번호는 확인불가, ip-time사용중, 신고자 엔지니어 빠른방문점검요청[기타]","[상품명] 서빙로봇[신고자/연락처] 이단비/010-4036-6902[문의(고장)내용] 서빙로봇 네트워크 연결안됨, 5G 연결비밀번호 확인방법문의[답변(진단)내용] 관제문의 사업장 사설 공유기의 비밀번호는 확인불가, ip-time사용중, 신고자 엔지니어 빠른방문점검요청[기타]",
하이오더 연동 오류,하이오더 연동 오류,하이오더 연동불
속도느림,속도느림,양호
[상품명] 베어 방역로봇 임대[신고자/연락처] 정현 010-6798-3114[문의(고장)내용]위치 재설정관련[답변(진단)내용] 상담요청[기타],[상품명] 베어 방역로봇 임대[신고자/연락처] 정현 010-6798-3114[문의(고장)내용]위치 재설정관련[답변(진단)내용] 상담요청[기타],재맵핑 및 무선충전 위치변경
[상품명]서빙로봇[신고자/연락처]이주희/010-4568-1884[문의(고장)내용]테이블간격이 좁아서 테이블을 장애물로인식/재설정요청[답변(진단)내용][기타],[상품명]서빙로봇[신고자/연락처]이주희/010-4568-1884[문의(고장)내용]테이블간격이 좁아서 테이블을 장애물로인식/재설정요청[답변(진단)내용][기타],이상없음
로봇 자동충전단자 고장,로봇 자동충전단자 고장,로봇교체
무선충전기 바코드 현행화,무선충전기 바코드 현행화,무선충전기 바코드 현행화
매장내 테이블 전체교체로 맵수정,매장내 테이블 전체교체로 맵수정,테이블 전체교체로 매수정
휴먼에러 긴급버튼 오작동,휴먼에러 긴급버튼 오작동,로봇 긴급버튼 오작동
대기장소변경요,대기장소변경요,대기장소변경
리모델링 후 방문요청,리모델링 후 방문요청,리모델링 후 맵 수정
